net_load,renewables,renewables_to_load_ratio,load.load
23781.25,5540.75,0.219414966,25254.41667
23244.25,5792.666667,0.231866688,24981.83333
22833.91667,5084.333333,0.207187774,24537.58333
22328.66667,4369,0.184410986,23687.25
21290.16667,4202.5,0.186064394,22591.66667
20401,4090.75,0.187703764,21799.58333
19486.33333,4340.833333,0.205987257,21076.41667
18489.83333,4677.5,0.227868245,20533.66667
17638.83333,5235.583333,0.258220719,20276.16667
17239.91667,5786.416667,0.284109104,20362.25
17540.58333,6165.666667,0.296062525,20827.58333
18770.25,5743.166667,0.265503875,21636
17405.33333,7392.25,0.337044773,21940.41667
12476.33333,11565.5,0.542839729,21352.75
7770.083333,14449.16667,0.735477665,19685.5
5470.666667,14571.16667,0.81326901,17919.33333
4239.416667,14126.33333,0.85757047,16477.33333
3701.666667,14471.08333,0.886872224,16316.75
3878.25,14711.83333,0.879341596,16731.5
5099.583333,14240.25,0.817903435,17421.66667
7983,13510.25,0.711786077,19035.41667
15128.16667,9389.083333,0.438117628,21573.41667
20357.5,8091.666667,0.329467332,24568.08333
21860.66667,7626.583333,0.298235609,25571.83333
22206.83333,7612,0.296230983,25694.66667
21756.58333,7466,0.295427179,25273.25
21093.58333,7489.083333,0.304839188,24571.75
19616.25,7311.333333,0.315099814,23207.08333
18226.08333,7524.666667,0.344216296,21871.83333
17466.33333,6571.333333,0.311351829,21099.75
16935.16667,6123.583333,0.2976002,20576.83333
16732.5,5867.416667,0.289441398,20271.5
16828.58333,5773.666667,0.284840599,20270.25
17661.75,5543.5,0.266712902,20794.08333
19675.83333,5776.333333,0.257304534,22446
22259,6232.333333,0.249786122,24968.08333
21985.41667,7976.666667,0.300993106,26515.75
15304.91667,13140.91667,0.52107521,25286.75
10079.08333,15953.91667,0.686275115,23277.58333
6802.333333,16806.16667,0.791359889,21248.58333
5168.666667,16676.66667,0.835678904,19960.91667
4153.833333,17130.58333,0.888642924,19278.16667
4470.916667,16929.08333,0.878062005,19280.5
5601.583333,16604.91667,0.836515325,19855
8997.083333,15239.16667,0.71276808,21447.66667
18303.25,9380.916667,0.394728726,23953.25
24634.66667,6074.333333,0.227623895,26728.75
25623.16667,6164.75,0.22354268,27578.08333
25376.91667,6460.583333,0.236577433,27308.5
24885,6481.333333,0.242228049,26758.33333
24104.16667,6109.083333,0.235415243,25942.25
23006.5,5617,0.229940975,24421
21563.33333,4955.416667,0.216751905,22862.25
20988.91667,4087.25,0.185627078,22011.33333
20608.25,3625.583333,0.169732981,21357
20516.91667,3448.75,0.164276928,20993
20495.66667,3235.083333,0.154381927,20954.5
20911.66667,3644.583333,0.169166755,21534.16667
22241.75,4256.166667,0.185153393,22979.58333
24522.83333,5229.5,0.204295358,25584.16667
23854.16667,7081.333333,0.262145802,27043.41667
16107.91667,12439.5,0.489993543,25476.91667
10907.25,15365.83333,0.657401909,23391.41667
8747.5,15202.25,0.707233355,21500.83333
7491.333333,14547.91667,0.725221431,20063.16667
6852.666667,14292.16667,0.744712205,19191.66667
6865.916667,14353.83333,0.746918509,19217.83333
7818.583333,14088.5,0.709236823,19873.16667
11303.83333,12357.66667,0.577462382,21453.16667
19271.08333,8007.75,0.341000424,23636.83333
25175.41667,4911.166667,0.187793649,26199.33333
26518.5,4556.666667,0.167932734,27133.83333
26311.83333,4310.166667,0.160148133,26913.25
25833.41667,4675.083333,0.176940508,26425.75
24877.33333,4621.416667,0.180851218,25557.33333
23360.66667,4440.583333,0.184100896,24107.75
21765.33333,4273.416667,0.188950327,22625.75
20871.83333,3775.333333,0.173660623,21734.58333
20291.91667,3531.666667,0.167487576,21084.33333
19952.66667,3504.333333,0.168909044,20748.08333
19829.83333,3989.25,0.192203311,20754.66667
20584.5,3885.916667,0.181830846,21379.33333
22152.58333,3992.583333,0.174176592,22912.91667
24599.58333,4452.666667,0.174912417,25478
23961.75,6695.833333,0.24949992,26868.75
16417.66667,12067.66667,0.476843669,25397.91667
10835.25,15281,0.658496573,23233.25
8293.166667,15699.16667,0.734550739,21379.66667
7244.583333,15018.75,0.748194899,20072.83333
6557.166667,14557.83333,0.757048457,19231.75
6715.083333,14392.5,0.747474175,19257.91667
8131.583333,13893.5,0.693460009,20040.25
10638.5,13398,0.624843412,21483.83333
18852,8674.083333,0.370765585,23535.66667
24410.08333,5492.833333,0.21253927,25858.75
25154.08333,5648.166667,0.21173449,26675.66667
24933.66667,5886.083333,0.222978037,26398.16667
24333.66667,5592.5,0.216544297,25828
23426.58333,5537.166667,0.221615964,24985.66667
21977.08333,5272.416667,0.224134197,23526.5
20352.41667,5287.5,0.23995607,22042.08333
19770.25,4680.916667,0.218848484,21383.33333
19503.5,3904.25,0.187829532,20784.5
19181.16667,3670,0.181291029,20241.83333
19132.75,3530.083333,0.17588939,20069.83333
19610,3567.166667,0.173722354,20535.08333
20888.91667,4105.25,0.186130055,22031.58333
23028.25,5017.583333,0.20607943,24333.16667
22461.25,7074,0.275473548,25696.75
15164.5,12412.66667,0.509878626,24418.91667
9679.5,15601,0.696204933,22437.66667
7073.333333,16109.25,0.780043081,20658
5741.5,15663,0.805179433,19453.66667
5097.333333,15391,0.815459501,18874.33333
